time	Temp	HeatFlow
s	°C	mW
2	105.99	-4.2901
3	106.86	-3.6319
4	107.62	-2.9913
5	108.28	-2.4114
6	108.87	-1.9091
7	109.41	-1.4979
8	109.94	-1.1875
9	110.46	-0.9752
10	110.99	-0.8506
11	111.54	-0.7976
12	112.12	-0.8012
13	112.72	-0.8465
14	113.35	-0.9192
15	114.01	-1.0052
16	114.69	-1.0984
17	115.39	-1.1899
18	116.10	-1.2734
19	116.83	-1.3480
20	117.57	-1.4094
21	118.30	-1.4567
22	119.04	-1.4889
23	119.78	-1.5069
24	120.52	-1.5143
25	121.24	-1.5102
26	121.97	-1.4963
27	122.68	-1.4744
28	123.38	-1.4445
29	124.07	-1.4093
30	124.76	-1.3687
31	125.44	-1.3272
32	126.10	-1.2839
33	126.76	-1.2397
34	127.41	-1.1938
35	128.05	-1.1460
36	128.67	-1.1017
37	129.29	-1.0619
38	129.91	-1.0230
39	130.52	-0.9858
40	131.11	-0.9513
41	131.71	-0.9168
42	132.30	-0.8849
43	132.88	-0.8575
44	133.46	-0.8318
45	134.03	-0.8088
46	134.60	-0.7867
47	135.17	-0.7646
48	135.74	-0.7442
49	136.31	-0.7283
50	136.88	-0.7133
51	137.44	-0.7010
52	138.01	-0.6886
53	138.57	-0.6772
54	139.13	-0.6684
55	139.68	-0.6614
56	140.24	-0.6517
57	140.79	-0.6420
58	141.34	-0.6323
59	141.89	-0.6244
60	142.44	-0.6174
61	142.98	-0.6113
62	143.53	-0.6069
63	144.09	-0.6035
64	144.63	-0.6010
65	145.18	-0.5993
66	145.73	-0.5976
67	146.28	-0.5960
68	146.82	-0.5943
69	147.37	-0.5918
70	147.91	-0.5883
71	148.46	-0.5858
72	149.00	-0.5850
73	149.55	-0.5851
74	150.10	-0.5853
75	150.64	-0.5854
76	151.19	-0.5838
77	151.74	-0.5839
78	152.28	-0.5849
79	152.83	-0.5860
80	153.38	-0.5879
81	153.92	-0.5880
82	154.47	-0.5873
83	155.02	-0.5856
84	155.56	-0.5831
85	156.11	-0.5823
86	156.65	-0.5843
87	157.20	-0.5853
88	157.74	-0.5855
89	158.29	-0.5874
90	158.84	-0.5885
91	159.39	-0.5904
92	159.94	-0.5924
93	160.48	-0.5934
94	161.03	-0.5936
95	161.58	-0.5947
96	162.13	-0.5957
97	162.67	-0.5986
98	163.23	-0.6015
99	163.78	-0.6034
100	164.33	-0.6045
101	164.88	-0.6047
102	165.43	-0.6048
103	165.98	-0.6041
104	166.53	-0.6061
105	167.08	-0.6071
106	167.64	-0.6082
107	168.19	-0.6093
108	168.75	-0.6113
109	169.30	-0.6133
110	169.85	-0.6162
111	170.40	-0.6191
112	170.96	-0.6210
113	171.52	-0.6221
114	172.07	-0.6223
115	172.63	-0.6216
116	173.18	-0.6236
117	173.74	-0.6274
118	174.30	-0.6294
119	174.85	-0.6314
120	175.41	-0.6334
121	175.96	-0.6336
122	176.52	-0.6357
123	177.09	-0.6377
124	177.64	-0.6379
125	178.20	-0.6381
126	178.76	-0.6392
127	179.32	-0.6394
128	179.87	-0.6405
129	180.43	-0.6407
130	180.99	-0.6400
131	181.54	-0.6402
132	182.10	-0.6386
133	182.65	-0.6379
134	183.21	-0.6363
135	183.76	-0.6356
136	184.32	-0.6367
137	184.87	-0.6369
138	185.43	-0.6381
139	185.98	-0.6392
140	186.54	-0.6403
141	187.09	-0.6405
142	187.65	-0.6398
143	188.21	-0.6410
144	188.76	-0.6439
145	189.32	-0.6451
146	189.87	-0.6444
147	190.43	-0.6446
148	190.98	-0.6458
149	191.54	-0.6478
150	192.10	-0.6499
151	192.65	-0.6520
152	193.21	-0.6522
153	193.77	-0.6524
154	194.32	-0.6527
155	194.88	-0.6538
156	195.44	-0.6541
157	195.99	-0.6570
158	196.55	-0.6610
159	197.11	-0.6640
160	197.66	-0.6651
161	198.23	-0.6663
162	198.79	-0.6684
163	199.34	-0.6705
164	199.90	-0.6717
165	200.46	-0.6710
166	201.02	-0.6713
167	201.58	-0.6724
168	202.14	-0.6745
169	202.69	-0.6776
170	203.26	-0.6806
171	203.82	-0.6836
172	204.38	-0.6867
173	204.95	-0.6879
174	205.51	-0.6928
175	206.08	-0.6968
176	206.64	-0.6989
177	207.21	-0.7019
178	207.78	-0.7050
179	208.34	-0.7071
180	208.91	-0.7093
181	209.47	-0.7114
182	210.03	-0.7136
183	210.60	-0.7157
184	211.17	-0.7179
185	211.74	-0.7200
186	212.30	-0.7222
187	212.87	-0.7234
188	213.44	-0.7237
189	214.01	-0.7240
190	214.57	-0.7253
191	215.14	-0.7265
192	215.71	-0.7268
193	216.28	-0.7290
194	216.84	-0.7312
195	217.41	-0.7324
196	217.98	-0.7346
197	218.55	-0.7359
198	219.12	-0.7362
199	219.69	-0.7375
200	220.26	-0.7406
201	220.83	-0.7437
202	221.40	-0.7469
203	221.97	-0.7481
204	222.54	-0.7494
205	223.11	-0.7497
206	223.66	-0.7491
207	224.23	-0.7466
208	224.79	-0.7442
209	225.35	-0.7417
210	225.91	-0.7401
211	226.47	-0.7386
212	227.03	-0.7380
213	227.60	-0.7346
214	228.16	-0.7255
215	228.72	-0.7032
216	229.28	-0.6696
217	229.84	-0.6351
218	230.40	-0.6259
219	230.96	-0.6300
220	231.52	-0.6303
221	232.08	-0.6429
222	232.65	-0.6772
223	233.22	-0.7096
224	233.79	-0.7260
225	234.35	-0.7349
226	234.92	-0.7418
227	235.49	-0.7479
228	236.05	-0.7549
229	236.62	-0.7600
230	237.19	-0.7651
231	237.76	-0.7702
232	238.33	-0.7744
233	238.90	-0.7795
234	239.47	-0.7846
235	240.04	-0.7888
236	240.62	-0.7920
237	241.19	-0.7934
238	241.75	-0.7957
239	242.32	-0.7989
240	242.90	-0.8022
241	243.47	-0.8055
242	244.04	-0.8097
243	244.61	-0.8139
244	245.19	-0.8181
245	245.76	-0.8224
246	246.34	-0.8266
247	246.91	-0.8299
248	247.49	-0.8332
249	248.07	-0.8355
250	248.64	-0.8388
251	249.22	-0.8422
252	249.79	-0.8436
253	250.36	-0.8459
254	250.94	-0.8464
255	251.52	-0.8487
256	252.10	-0.8511
257	252.68	-0.8535
258	253.25	-0.8558
259	253.83	-0.8582
260	254.40	-0.8616
261	254.97	-0.8630
262	255.55	-0.8634
263	256.12	-0.8649
264	256.69	-0.8682
265	257.26	-0.8706
266	257.84	-0.8730
267	258.41	-0.8735
268	258.99	-0.8730
269	259.56	-0.8725
270	260.14	-0.8720
271	260.71	-0.8735
272	261.28	-0.8759
273	261.86	-0.8773
274	262.43	-0.8807
275	263.01	-0.8831
276	263.59	-0.8836
277	264.16	-0.8851
278	264.74	-0.8866
279	265.31	-0.8890
280	265.89	-0.8924
281	266.47	-0.8949
282	267.05	-0.8973
283	267.63	-0.9008
284	268.21	-0.9032
285	268.78	-0.9047
286	269.36	-0.9072
287	269.94	-0.9077
288	270.52	-0.9072
289	271.10	-0.9058
290	271.68	-0.9063
291	272.26	-0.9078
292	272.83	-0.9074
293	273.41	-0.9099
294	273.98	-0.9123
295	274.56	-0.9138
296	275.14	-0.9134
297	275.72	-0.9130
298	276.30	-0.9135
299	276.88	-0.9130
300	277.45	-0.9146
301	278.03	-0.9151
302	278.61	-0.9137
303	279.19	-0.9132
304	279.76	-0.9147
305	280.34	-0.9153
306	280.92	-0.9158
307	281.50	-0.9154
308	282.09	-0.9169
309	282.66	-0.9215
310	283.24	-0.9250
311	283.81	-0.9295
312	284.38	-0.9330
313	284.96	-0.9346
314	285.53	-0.9351
315	286.11	-0.9377
316	286.69	-0.9393
317	287.26	-0.9418
318	287.84	-0.9434
319	288.42	-0.9460
320	288.99	-0.9475
321	289.56	-0.9481
322	290.14	-0.9477
323	290.71	-0.9483
324	291.29	-0.9499
325	291.87	-0.9534
326	292.44	-0.9550
327	293.02	-0.9536
328	293.60	-0.9532
329	294.17	-0.9538
330	294.75	-0.9544
331	295.32	-0.9570
332	295.90	-0.9596
333	296.48	-0.9612
334	297.06	-0.9608
335	297.63	-0.9594
336	298.21	-0.9590
337	298.79	-0.9596
338	299.37	-0.9602
339	299.94	-0.9608
340	300.52	-0.9625
341	301.10	-0.9631
342	301.68	-0.9647
343	302.25	-0.9663
344	302.82	-0.9670
345	303.41	-0.9666
346	303.98	-0.9682
347	304.56	-0.9698
348	305.14	-0.9715
349	305.71	-0.9731
350	306.30	-0.9728
351	306.88	-0.9744
352	307.46	-0.9771
353	308.04	-0.9787
354	308.61	-0.9794
355	309.19	-0.9800
356	309.77	-0.9786
357	310.35	-0.9783
358	310.93	-0.9789
359	311.51	-0.9796
360	312.09	-0.9802
361	312.67	-0.9809
362	313.25	-0.9774
363	313.82	-0.9709
364	314.39	-0.9695
365	314.98	-0.9701
366	315.56	-0.9708
367	316.14	-0.9735
368	316.72	-0.9762
369	317.30	-0.9789
370	317.88	-0.9827
371	318.45	-0.9864
372	319.03	-0.9891
373	319.61	-0.9919
374	320.20	-0.9926
375	320.78	-0.9932
376	321.36	-0.9960
377	321.94	-0.9987
378	322.52	-1.0015
379	323.10	-1.0022
380	323.67	-1.0028
381	324.25	-1.0035
382	324.83	-1.0042
383	325.41	-1.0039
384	325.98	-1.0025
385	326.55	-1.0021
386	327.13	-1.0028
387	327.71	-1.0035
388	328.29	-1.0042
389	328.87	-1.0039
390	329.44	-1.0025
391	330.02	-1.0021
392	330.60	-1.0028
393	331.17	-1.0035
394	331.75	-1.0042
395	332.33	-1.0039
396	332.90	-1.0046
397	333.48	-1.0063
398	334.06	-1.0081
399	334.64	-1.0088
400	335.21	-1.0116
401	335.79	-1.0144
402	336.37	-1.0173
403	336.95	-1.0190
404	337.52	-1.0187
405	338.09	-1.0184
406	338.68	-1.0181
407	339.25	-1.0177
408	339.83	-1.0184
409	340.41	-1.0192
410	340.99	-1.0199
411	341.57	-1.0185
412	342.14	-1.0161
413	342.71	-1.0157
414	343.29	-1.0186
415	343.87	-1.0204
416	344.44	-1.0201
417	345.02	-1.0197
418	345.60	-1.0215
419	346.18	-1.0233
420	346.76	-1.0241
421	347.34	-1.0259
422	347.91	-1.0263
423	348.49	-1.0263
424	349.06	-1.0274
425	349.64	-1.0263
426	350.22	-1.0263
427	350.80	-1.0285
428	351.39	-1.0306
429	351.96	-1.0327
430	352.54	-1.0338
431	353.12	-1.0349
432	353.70	-1.0359
433	354.29	-1.0359
434	354.87	-1.0349
435	355.45	-1.0359
436	356.03	-1.0359
437	356.61	-1.0370
438	357.19	-1.0370
439	357.77	-1.0338
440	358.35	-1.0327
441	358.93	-1.0338
442	359.51	-1.0338
443	360.09	-1.0306
444	360.67	-1.0285
445	361.26	-1.0285
446	361.83	-1.0285
447	362.41	-1.0295
448	362.99	-1.0317
449	363.58	-1.0327
450	364.16	-1.0317
451	364.74	-1.0306
452	365.32	-1.0295
453	365.90	-1.0285
454	366.47	-1.0285
455	367.05	-1.0306
456	367.63	-1.0306
457	368.21	-1.0295
458	368.79	-1.0274
459	369.37	-1.0253
460	369.94	-1.0231
461	370.52	-1.0199
462	371.10	-1.0178
463	371.67	-1.0167
464	372.25	-1.0178
465	372.83	-1.0199
466	373.40	-1.0210
467	373.98	-1.0231
468	374.56	-1.0242
469	375.14	-1.0263
470	375.72	-1.0285
471	376.31	-1.0306
472	376.89	-1.0338
473	377.47	-1.0359
474	378.05	-1.0402
475	378.63	-1.0434
476	379.22	-1.0455
477	379.81	-1.0498
478	380.40	-1.0530
479	380.98	-1.0573
480	381.57	-1.0615
481	382.15	-1.0626
482	382.74	-1.0626
483	383.32	-1.0637
484	383.91	-1.0637
485	384.50	-1.0647
486	385.09	-1.0637
487	385.67	-1.0605
488	386.26	-1.0551
489	386.84	-1.0498
490	387.43	-1.0455
491	388.01	-1.0445
492	388.59	-1.0455
493	389.18	-1.0466
494	389.76	-1.0477
495	390.34	-1.0487
496	390.93	-1.0498
497	391.52	-1.0509
498	392.11	-1.0509
499	392.69	-1.0498
500	393.28	-1.0498
501	393.87	-1.0509
502	394.46	-1.0530
503	395.04	-1.0519
504	395.62	-1.0509
505	396.21	-1.0509
506	396.79	-1.0498
507	397.38	-1.0498
508	397.96	-1.0530
509	398.55	-1.0562
510	399.13	-1.0594
511	399.72	-1.0615
512	400.31	-1.0637
513	400.89	-1.0669
514	401.48	-1.0701
515	402.07	-1.0733
516	402.65	-1.0743
517	403.23	-1.0754
518	403.82	-1.0765
519	404.41	-1.0775
520	404.99	-1.0765
521	405.58	-1.0765
522	406.17	-1.0722
523	406.75	-1.0669
524	407.34	-1.0658
525	407.93	-1.0679
526	408.51	-1.0690
527	409.10	-1.0690
528	409.69	-1.0690
529	410.27	-1.0701
530	410.85	-1.0690
531	411.43	-1.0690
532	412.02	-1.0701
533	412.60	-1.0733
534	413.18	-1.0754
535	413.77	-1.0775
536	414.35	-1.0775
537	414.93	-1.0775
538	415.52	-1.0765
539	416.10	-1.0743
540	416.68	-1.0743
541	417.26	-1.0743
542	417.84	-1.0743
543	418.42	-1.0754
544	419.00	-1.0743
545	419.59	-1.0722
546	420.17	-1.0711
547	420.75	-1.0711
548	421.33	-1.0722
549	421.91	-1.0743
550	422.50	-1.0754
551	423.08	-1.0754
552	423.65	-1.0765
553	424.24	-1.0786
554	424.83	-1.0797
555	425.41	-1.0840
556	426.00	-1.0893
557	426.58	-1.0936
558	427.17	-1.0978
559	427.76	-1.1000
