time	Temp	HeatFlow
s	°C	mW
2	63.73	2.32736
3	63.67	2.33442
4	63.63	2.33089
5	63.65	2.29468
6	63.74	2.20989
7	63.92	2.07033
8	64.20	1.87425
9	64.61	1.62518
10	65.13	1.33105
11	65.74	1.00249
12	66.46	0.64919
13	67.27	0.27911
14	68.17	-0.0998
15	69.15	-0.4823
16	70.21	-0.8576
17	71.34	-1.2224
18	72.51	-1.5739
19	73.73	-1.9087
20	74.99	-2.2231
21	76.29	-2.5181
22	77.63	-2.7937
23.25	79.50	-3.1364
24.25	80.89	-3.3599
25.25	82.28	-3.5604
26.25	83.68	-3.7308
27.25	85.04	-3.8563
28.25	86.36	-3.9296
29.25	87.62	-3.9472
30.25	88.81	-3.9154
31.25	89.94	-3.8386
32.25	91.00	-3.7264
33.25	92.00	-3.5878
34.25	92.95	-3.4288
35.25	93.84	-3.2548
36.25	94.68	-3.0737
37.25	95.47	-2.8882
38.25	96.23	-2.7045
39.25	96.96	-2.5252
40.25	97.65	-2.3521
41.25	98.32	-2.1878
42.25	98.97	-2.0324
43.25	99.59	-1.8875
44.25	100.21	-1.7542
45.25	100.81	-1.6307
46.25	101.39	-1.5169
47.25	101.97	-1.4146
48.25	102.55	-1.3219
49.25	103.11	-1.2381
50.25	103.67	-1.1640
51.25	104.23	-1.0951
52.25	104.79	-1.0343
53.25	105.33	-0.9813
54.25	105.88	-0.9328
55.25	106.42	-0.8904
56.25	106.97	-0.8534
57.25	107.51	-0.8190
58.25	108.05	-0.7899
59.25	108.59	-0.7643
60.25	109.13	-0.7423
61.25	109.67	-0.7238
62.25	110.21	-0.7062
63.25	110.76	-0.6894
64.25	111.30	-0.6736
65.25	111.84	-0.6613
66.25	112.38	-0.6498
67.25	112.92	-0.6393
68.25	113.46	-0.6305
69.25	114.00	-0.6235
70.25	114.54	-0.6165
71.25	115.08	-0.6113
72.25	115.63	-0.6069
73.25	116.17	-0.6017
74.25	116.71	-0.5973
75.25	117.24	-0.5948
76.25	117.78	-0.5922
77.25	118.32	-0.5905
78.25	118.86	-0.5897
79.25	119.40	-0.5898
80.25	119.94	-0.5890
81.25	120.48	-0.5882
82.25	121.02	-0.5882
83.25	121.56	-0.5866
84.25	122.09	-0.5866
85.25	122.63	-0.5876
86.25	123.16	-0.5868
87.25	123.70	-0.5860
88.25	124.25	-0.5870
89.25	124.78	-0.5871
90.25	125.32	-0.5863
91.25	125.85	-0.5855
92.25	126.39	-0.5856
93.25	126.93	-0.5848
94.25	127.46	-0.5858
95.25	127.99	-0.5859
96.25	128.53	-0.5878
97.25	129.07	-0.5905
98.25	129.60	-0.5915
99.25	130.14	-0.5925
100.25	130.68	-0.5953
101.25	131.21	-0.5989
102.25	131.76	-0.6008
103.25	132.30	-0.6009
104.25	132.84	-0.6019
105.25	133.38	-0.6047
106.25	133.91	-0.6066
107.25	134.45	-0.6103
108.25	135.00	-0.6131
109.25	135.55	-0.6159
110.25	136.09	-0.6169
111.25	136.63	-0.6188
112.25	137.19	-0.6207
113.25	137.73	-0.6217
114.25	138.28	-0.6236
115.25	138.83	-0.6264
116.25	139.38	-0.6292
117.25	139.92	-0.6320
118.25	140.47	-0.6348
119.25	141.02	-0.6367
120.25	141.57	-0.6378
121.25	142.12	-0.6415
122.25	142.67	-0.6443
123.25	143.22	-0.6462
124.25	143.77	-0.6490
125.25	144.32	-0.6518
126.25	144.87	-0.6547
127.25	145.42	-0.6566
128.25	145.98	-0.6594
129.25	146.52	-0.6632
130.25	147.07	-0.6660
131.25	147.62	-0.6679
132.25	148.18	-0.6699
133.25	148.73	-0.6727
134.25	149.28	-0.6747
135.25	149.83	-0.6793
136.25	150.39	-0.6822
137.25	150.94	-0.6841
138.25	151.50	-0.6861
139.25	152.05	-0.6880
140.25	152.60	-0.6891
141.25	153.16	-0.6929
142.25	153.72	-0.6957
143.25	154.27	-0.6977
144.25	154.82	-0.6997
145.25	155.37	-0.7025
146.25	155.92	-0.7045
147.25	156.48	-0.7056
148.25	157.03	-0.7076
149.25	157.58	-0.7095
150.25	158.14	-0.7115
151.25	158.70	-0.7144
152.25	159.25	-0.7173
153.25	159.80	-0.7202
154.25	160.35	-0.7231
155.25	160.91	-0.7260
156.25	161.46	-0.7298
157.25	162.02	-0.7327
158.25	162.58	-0.7374
159.25	163.13	-0.7421
160.25	163.70	-0.7468
161.25	164.26	-0.7515
162.25	164.82	-0.7544
163.25	165.38	-0.7574
164.25	165.95	-0.7621
165.25	166.51	-0.7659
166.25	167.07	-0.7689
167.25	167.63	-0.7709
168.25	168.19	-0.7747
169.25	168.75	-0.7777
170.25	169.30	-0.7797
171.25	169.87	-0.7826
172.25	170.43	-0.7820
173.25	170.98	-0.7822
174.25	171.54	-0.7833
175.25	172.10	-0.7845
176.25	172.66	-0.7865
177.25	173.22	-0.7886
178.25	173.77	-0.7879
179.25	174.33	-0.7882
180.25	174.89	-0.7902
181.25	175.45	-0.7932
182.25	176.00	-0.7952
183.25	176.56	-0.7964
184.25	177.11	-0.7994
185.25	177.67	-0.8014
186.25	178.23	-0.8035
187.25	178.79	-0.8056
188.25	179.35	-0.8086
189.25	179.91	-0.8107
190.25	180.48	-0.8137
191.25	181.04	-0.8167
192.25	181.59	-0.8206
193.25	182.16	-0.8227
194.25	182.72	-0.8248
195.25	183.28	-0.8278
196.25	183.84	-0.8326
197.25	184.40	-0.8365
198.25	184.97	-0.8414
199.25	185.54	-0.8453
200.25	186.10	-0.8493
201.25	186.66	-0.8523
202.25	187.23	-0.8553
203.25	187.79	-0.8584
204.25	188.36	-0.8614
205.25	188.92	-0.8654
206.25	189.49	-0.8684
207.25	190.06	-0.8706
208.25	190.62	-0.8746
209.25	191.19	-0.8776
210.25	191.75	-0.8798
211.25	192.32	-0.8828
212.25	192.89	-0.8868
213.25	193.45	-0.8908
214.25	194.02	-0.8948
215.25	194.58	-0.8979
216.25	195.15	-0.9019
217.25	195.73	-0.9059
218.25	196.30	-0.9090
219.25	196.86	-0.9112
220.25	197.43	-0.9161
221.25	198.00	-0.9211
222.25	198.57	-0.9242
223.25	199.14	-0.9264
224.25	199.71	-0.9304
225.25	200.28	-0.9363
226.25	200.85	-0.9422
227.25	201.42	-0.9472
228.25	201.99	-0.9513
229.25	202.56	-0.9563
230.25	203.14	-0.9603
231.25	203.71	-0.9644
232.25	204.28	-0.9694
233.25	204.86	-0.9754
234.25	205.43	-0.9804
235.25	206.01	-0.9863
236.25	206.58	-0.9923
237.25	207.16	-0.9982
238.25	207.74	-1.0033
239.25	208.31	-1.0093
240.25	208.89	-1.0134
241.25	209.46	-1.0166
242.25	210.03	-1.0198
243.25	210.61	-1.0239
244.25	211.18	-1.0281
245.25	211.75	-1.0313
246.25	212.33	-1.0345
247.25	212.90	-1.0396
248.25	213.48	-1.0438
249.25	214.05	-1.0433
250.25	214.61	-1.0354
251.25	215.19	-1.0200
252.25	215.76	-1.0018
253.25	216.32	-1.0059
254.25	216.89	-1.0493
255.25	217.45	-1.1299
256.25	218.02	-1.2723
257.25	218.57	-1.5091
258.25	219.11	-1.8620
259.25	219.62	-2.3581
260.25	220.11	-3.0162
261.25	220.58	-3.8254
262.25	221.02	-4.7577
263.25	221.45	-5.7814
264.25	221.88	-6.8656
265.25	222.29	-7.9870
266.25	222.69	-9.1034
267.25	223.11	-10.131
268.25	223.55	-10.903
269.25	224.05	-11.266
270.25	224.60	-11.191
271.25	225.21	-10.789
272.25	225.84	-10.216
273.25	226.49	-9.5773
274.25	227.15	-8.8838
275.25	227.82	-8.1408
276.25	228.49	-7.4064
277.25	229.16	-6.7295
278.25	229.83	-6.1236
279.25	230.48	-5.5867
280.25	231.13	-5.1124
281.25	231.77	-4.6970
282.25	232.41	-4.3322
283.25	233.04	-4.0113
284.25	233.66	-3.7298
285.25	234.29	-3.4821
286.25	234.91	-3.2644
287.25	235.52	-3.0730
288.25	236.13	-2.9050
289.25	236.74	-2.7568
290.25	237.34	-2.6264
291.25	237.95	-2.5111
292.25	238.55	-2.4108
293.25	239.15	-2.3228
294.25	239.74	-2.2470
295.25	240.34	-2.1826
296.25	240.94	-2.1257
297.25	241.53	-2.0764
298.25	242.13	-2.0317
299.25	242.73	-1.9938
300.25	243.32	-1.9624
301.25	243.91	-1.9338
302.25	244.50	-1.9072
303.25	245.09	-1.8843
304.25	245.68	-1.8652
305.25	246.27	-1.8490
306.25	246.86	-1.8356
307.25	247.45	-1.8270
308.25	248.04	-1.8194
309.25	248.63	-1.8127
310.25	249.21	-1.8089
311.25	249.80	-1.8060
312.25	250.39	-1.8041
313.25	250.99	-1.8041
314.25	251.58	-1.8051
315.25	252.17	-1.8060
316.25	252.75	-1.8070
317.25	253.33	-1.8080
318.25	253.91	-1.8109
319.25	254.50	-1.8157
320.25	255.08	-1.8205
321.25	255.66	-1.8263
322.25	256.25	-1.8322
323.25	256.83	-1.8360
324.25	257.41	-1.8409
325.25	258.00	-1.8448
326.25	258.58	-1.8487
327.25	259.16	-1.8536
328.25	259.74	-1.8585
329.25	260.32	-1.8634
330.25	260.90	-1.8693
331.25	261.48	-1.8751
332.25	262.07	-1.8810
333.25	262.65	-1.8889
334.25	263.23	-1.8948
335.25	263.81	-1.9007
336.25	264.40	-1.9076
337.25	264.98	-1.9145
338.25	265.56	-1.9214
339.25	266.15	-1.9284
340.25	266.73	-1.9373
341.25	267.31	-1.9442
342.25	267.89	-1.9521
343.25	268.47	-1.9581
344.25	269.05	-1.9631
345.25	269.63	-1.9721
346.25	270.21	-1.9810
347.25	270.79	-1.9890
348.25	271.38	-1.9980
349.25	271.96	-2.0070
350.25	272.55	-2.0160
351.25	273.14	-2.0250
352.25	273.71	-2.0340
353.25	274.30	-2.0431
354.25	274.88	-2.0522
355.25	275.47	-2.0603
356.25	276.05	-2.0683
357.25	276.63	-2.0774
358.25	277.22	-2.0875
359.25	277.80	-2.0947
360.25	278.39	-2.1028
361.25	278.97	-2.1120
362.25	279.55	-2.1201
363.25	280.14	-2.1293
364.25	280.72	-2.1395
365.25	281.31	-2.1497
366.25	281.89	-2.1599
367.25	282.47	-2.1711
368.25	283.06	-2.1813
369.25	283.64	-2.1925
370.25	284.22	-2.2038
371.25	284.80	-2.2140
372.25	285.38	-2.2253
373.25	285.97	-2.2366
374.25	286.54	-2.2469
375.25	287.12	-2.2552
376.25	287.70	-2.2646
377.25	288.28	-2.2749
378.25	288.86	-2.2843
379.25	289.44	-2.2947
380.25	290.02	-2.3061
381.25	290.61	-2.3185
382.25	291.19	-2.3289
383.25	291.78	-2.3394
384.25	292.36	-2.3499
385.25	292.94	-2.3603
386.25	293.52	-2.3698
387.25	294.10	-2.3803
388.25	294.68	-2.3919
389.25	295.26	-2.4024
390.25	295.84	-2.4139
391.25	296.42	-2.4265
392.25	297.01	-2.4391
393.25	297.59	-2.4517
394.25	298.17	-2.4634
395.25	298.76	-2.4780
396.25	299.34	-2.4947
397.25	299.92	-2.5094
398.25	300.51	-2.5202
399.25	301.09	-2.5309
400.25	301.67	-2.5406
401.25	302.26	-2.5493
402.25	302.84	-2.5580
403.25	303.42	-2.5678
404.25	304.00	-2.5786
405.25	304.58	-2.5883
406.25	305.17	-2.6002
407.25	305.75	-2.6090
408.25	306.34	-2.6178
409.25	306.92	-2.6287
410.25	307.49	-2.6406
411.25	308.08	-2.6545
412.25	308.66	-2.6695
413.25	309.25	-2.6835
414.25	309.83	-2.6975
415.25	310.42	-2.7146
416.25	311.00	-2.7297
417.25	311.58	-2.7448
418.25	312.16	-2.7609
419.25	312.75	-2.7751
420.25	313.33	-2.7882
421.25	313.91	-2.8034
422.25	314.50	-2.8176
423.25	315.08	-2.8338
424.25	315.66	-2.8501
425.25	316.25	-2.8685
426.25	316.83	-2.8848
427.25	317.42	-2.9022
428.25	318.00	-2.9206
429.25	318.59	-2.9381
430.25	319.17	-2.9576
431.25	319.76	-2.9782
432.25	320.34	-2.9967
433.25	320.93	-3.0143
434.25	321.51	-3.0308
435.25	322.09	-3.0474
436.25	322.67	-3.0650
437.25	323.25	-3.0826
438.25	323.83	-3.1013
439.25	324.41	-3.1221
440.25	324.98	-3.1419
441.25	325.56	-3.1628
442.25	326.15	-3.1826
443.25	326.72	-3.2035
444.25	327.30	-3.2214
445.25	327.88	-3.2403
446.25	328.46	-3.2613
447.25	329.04	-3.2844
448.25	329.62	-3.3076
449.25	330.20	-3.3308
450.25	330.78	-3.3571
451.25	331.36	-3.3835
452.25	331.95	-3.4090
453.25	332.53	-3.4344
454.25	333.11	-3.4588
455.25	333.68	-3.4832
456.25	334.27	-3.5067
457.25	334.85	-3.5313
458.25	335.43	-3.5558
459.25	336.01	-3.5804
460.25	336.59	-3.6061
461.25	337.18	-3.6298
462.25	337.76	-3.6545
463.25	338.34	-3.6814
464.25	338.92	-3.7083
465.25	339.50	-3.7342
466.25	340.08	-3.7612
467.25	340.66	-3.7882
468.25	341.24	-3.8142
469.25	341.82	-3.8413
470.25	342.40	-3.8706
471.25	342.98	-3.8978
472.25	343.56	-3.9261
473.25	344.14	-3.9544
474.25	344.71	-3.9827
475.25	345.29	-4.0144
476.25	345.87	-4.0449
477.25	346.46	-4.0767
478.25	347.03	-4.1095
479.25	347.61	-4.1434
480.25	348.20	-4.1747
481.25	348.78	-4.2067
482.25	349.35	-4.2409
483.25	349.94	-4.2750
484.25	350.52	-4.3102
485.25	351.10	-4.3443
486.25	351.68	-4.3774
487.25	352.26	-4.4116
488.25	352.84	-4.4457
489.25	353.42	-4.4798
490.25	354.00	-4.5108
491.25	354.57	-4.5438
492.25	355.15	-4.5791
493.25	355.73	-4.6164
494.25	356.31	-4.6537
495.25	356.89	-4.6911
496.25	357.47	-4.7284
497.25	358.06	-4.7658
498.25	358.63	-4.8020
