time	Temp	HeatFlow
s	°C	mW
2	48.31	2.20459
3	48.31	2.19399
4	48.33	2.18251
5	48.41	2.15248
6	48.56	2.08712
7	48.79	1.97583
8	49.12	1.82037
9	49.54	1.62164
10	50.06	1.38317
11	50.70	1.10936
12	51.43	0.80994
13	52.26	0.49639
14	53.19	0.17577
15	54.19	-0.1457
16.75	56.16	-0.7366
17.75	57.32	-1.0378
18.75	58.51	-1.3231
19.75	59.73	-1.5872
20.75	60.99	-1.8168
21.75	62.22	-2.0006
22.75	63.35	-2.1330
23.75	64.45	-2.2143
24.75	65.53	-2.2496
25.75	66.55	-2.2434
26.75	67.52	-2.2028
27.75	68.44	-2.1366
28.75	69.31	-2.0491
29.75	70.13	-1.9440
30.75	70.92	-1.8292
31.75	71.68	-1.7091
32.75	72.39	-1.5863
33.75	73.07	-1.4627
34.75	73.73	-1.3434
35.75	74.36	-1.2304
36.75	74.98	-1.1226
37.75	75.58	-1.0210
38.75	76.16	-0.9283
39.75	76.74	-0.8435
40.75	77.31	-0.7675
41.75	77.87	-0.6995
42.75	78.43	-0.6377
43.75	78.98	-0.5829
44.75	79.52	-0.5344
45.75	80.07	-0.4911
46.75	80.61	-0.4513
47.75	81.15	-0.4169
48.75	81.68	-0.3877
49.75	82.21	-0.3604
50.75	82.75	-0.3365
51.75	83.28	-0.3153
52.75	83.82	-0.2977
53.75	84.35	-0.2826
54.75	84.88	-0.2676
55.75	85.41	-0.2535
56.75	85.94	-0.2402
57.75	86.46	-0.2279
58.75	86.99	-0.2182
59.75	87.52	-0.2076
60.75	88.04	-0.1987
61.75	88.56	-0.1899
62.75	89.08	-0.1819
63.75	89.60	-0.1766
64.75	90.13	-0.1722
65.75	90.65	-0.1696
66.75	91.18	-0.1678
67.75	91.70	-0.1661
68.75	92.23	-0.1661
69.75	92.76	-0.1661
70.75	93.29	-0.1661
71.75	93.82	-0.1652
72.75	94.35	-0.1643
73.75	94.87	-0.1616
74.75	95.39	-0.1572
75.75	95.92	-0.1563
76.75	96.44	-0.1563
77.75	96.97	-0.1563
78.75	97.50	-0.1555
79.75	98.02	-0.1546
80.75	98.54	-0.1537
81.75	99.07	-0.1537
82.75	99.59	-0.1537
83.75	100.12	-0.1519
84.75	100.65	-0.1511
85.75	101.18	-0.1511
86.75	101.70	-0.1511
87.75	102.23	-0.1511
88.75	102.75	-0.1511
89.75	103.27	-0.1511
90.75	103.80	-0.1520
91.75	104.32	-0.1520
92.75	104.85	-0.1512
93.75	105.37	-0.1521
94.75	105.90	-0.1512
95.75	106.42	-0.1521
96.75	106.95	-0.1521
97.75	107.47	-0.1521
98.75	108.00	-0.1530
99.75	108.52	-0.1539
100.75	109.05	-0.1548
101.75	109.58	-0.1557
102.75	110.11	-0.1584
103.75	110.65	-0.1602
104.75	111.18	-0.1602
105.75	111.71	-0.1602
106.75	112.23	-0.1602
107.75	112.77	-0.1594
108.75	113.31	-0.1603
109.75	113.84	-0.1612
110.75	114.37	-0.1603
111.75	114.91	-0.1603
112.75	115.44	-0.1621
113.75	115.98	-0.1657
114.75	116.52	-0.1702
115.75	117.05	-0.1719
116.75	117.59	-0.1729
117.75	118.13	-0.1729
118.75	118.66	-0.1738
119.75	119.20	-0.1747
120.75	119.73	-0.1747
121.75	120.27	-0.1748
122.75	120.80	-0.1757
123.75	121.34	-0.1766
124.75	121.88	-0.1775
125.75	122.41	-0.1784
126.75	122.95	-0.1811
127.75	123.48	-0.1829
128.75	124.02	-0.1838
129.75	124.56	-0.1856
130.75	125.10	-0.1883
131.75	125.63	-0.1892
132.75	126.17	-0.1919
133.75	126.71	-0.1946
134.75	127.25	-0.1973
135.75	127.79	-0.2000
136.75	128.33	-0.2018
137.75	128.87	-0.2045
138.75	129.41	-0.2081
139.75	129.95	-0.2099
140.75	130.49	-0.2126
141.75	131.03	-0.2154
142.75	131.57	-0.2163
143.75	132.12	-0.2172
144.75	132.65	-0.2199
145.75	133.19	-0.2226
146.75	133.73	-0.2253
147.75	134.27	-0.2272
148.75	134.81	-0.2290
149.75	135.36	-0.2299
150.75	135.91	-0.2326
151.75	136.45	-0.2354
152.75	137.00	-0.2390
153.75	137.55	-0.2417
154.75	138.10	-0.2444
155.75	138.64	-0.2480
156.75	139.19	-0.2517
157.75	139.75	-0.2553
158.75	140.30	-0.2589
159.75	140.85	-0.2625
160.75	141.40	-0.2653
161.75	141.96	-0.2689
162.75	142.50	-0.2725
163.75	143.05	-0.2762
164.75	143.60	-0.2807
165.75	144.16	-0.2861
166.75	144.71	-0.2906
167.75	145.26	-0.2934
168.75	145.81	-0.2970
169.75	146.37	-0.3016
