time	Temp	HeatFlow
s	°C	mW
2	70.18	-3.2539
3	70.16	-2.6047
4	70.15	-2.0412
5	70.17	-1.5854
6	70.28	-1.2551
7	70.48	-1.0519
8	70.78	-0.9636
9	71.20	-0.9733
10	71.72	-1.0599
11	72.36	-1.2074
12	73.10	-1.3973
13	73.94	-1.6163
14	74.87	-1.8522
15	75.88	-2.0933
16	76.97	-2.3327
17	78.13	-2.5632
18	79.34	-2.7805
19	80.60	-2.9863
20.25	82.25	-3.2221
21.25	83.61	-3.3926
22.25	84.99	-3.5427
23.25	86.38	-3.6602
24.25	87.75	-3.7308
25.25	89.10	-3.7423
26.25	90.39	-3.6955
27.25	91.62	-3.5984
28.25	92.80	-3.4623
29.25	93.92	-3.2954
30.25	94.96	-3.1073
31.25	95.96	-2.9068
32.25	96.89	-2.7027
33.25	97.78	-2.4996
34.25	98.61	-2.3009
35.25	99.40	-2.1118
36.25	100.16	-1.9335
37.25	100.89	-1.7677
38.25	101.59	-1.6141
39.25	102.25	-1.4729
40.25	102.89	-1.3467
41.25	103.51	-1.2338
42.25	104.13	-1.1323
43.25	104.73	-1.0431
44.25	105.32	-0.9636
45.25	105.90	-0.8948
46.25	106.47	-0.8339
47.25	107.02	-0.7800
48.25	107.58	-0.7323
49.25	108.13	-0.6908
50.25	108.68	-0.6573
51.25	109.23	-0.6291
52.25	109.77	-0.6026
53.25	110.31	-0.5805
54.25	110.86	-0.5620
55.25	111.41	-0.5479
56.25	111.96	-0.5356
57.25	112.50	-0.5250
58.25	113.05	-0.5162
59.25	113.60	-0.5074
60.25	114.15	-0.5004
61.25	114.69	-0.4952
62.25	115.23	-0.4890
63.25	115.77	-0.4838
64.25	116.32	-0.4812
65.25	116.86	-0.4777
66.25	117.41	-0.4760
67.25	117.95	-0.4725
68.25	118.49	-0.4690
69.25	119.03	-0.4673
70.25	119.57	-0.4674
71.25	120.12	-0.4684
72.25	120.66	-0.4675
73.25	121.20	-0.4676
74.25	121.74	-0.4686
75.25	122.29	-0.4695
76.25	122.83	-0.4714
77.25	123.37	-0.4741
78.25	123.91	-0.4777
79.25	124.46	-0.4813
80.25	125.00	-0.4841
81.25	125.54	-0.4886
82.25	126.08	-0.4922
83.25	126.62	-0.4941
84.25	127.16	-0.4968
85.25	127.70	-0.5005
86.25	128.24	-0.5050
87.25	128.79	-0.5087
88.25	129.32	-0.5141
89.25	129.86	-0.5204
90.25	130.41	-0.5267
91.25	130.95	-0.5348
92.25	131.49	-0.5438
93.25	132.03	-0.5519
94.25	132.58	-0.5591
95.25	133.12	-0.5673
96.25	133.66	-0.5754
97.25	134.21	-0.5835
