time	Temp	HeatFlow
s	°C	mW
2	75.31	-1.9555
3	75.29	-1.4114
4	75.28	-0.9486
5	75.32	-0.6139
6	75.43	-0.4434
7	75.63	-0.4434
8	75.94	-0.5962
9	76.37	-0.8762
10	76.91	-1.2489
11	77.56	-1.6808
12	78.31	-2.1489
13	79.16	-2.6303
14	80.10	-3.1090
15	81.13	-3.5701
16	82.22	-4.0011
17	83.38	-4.3942
18	84.59	-4.7448
19	85.86	-5.0539
20	87.17	-5.3225
21	88.52	-5.5539
22	89.90	-5.7482
23	91.30	-5.9072
24	92.73	-6.0335
25	94.17	-6.1297
26.25	96.19	-6.2287
27.25	97.66	-6.2781
28.25	99.15	-6.3073
29.25	100.62	-6.2975
30.25	102.06	-6.2203
31.25	103.44	-6.0592
32.25	104.76	-5.8175
33.25	106.02	-5.5094
34.25	107.21	-5.1507
35.25	108.33	-4.7600
36.25	109.37	-4.3522
37.25	110.37	-3.9443
38.25	111.31	-3.5503
39.25	112.20	-3.1756
40.25	113.04	-2.8265
41.25	113.84	-2.5073
42.25	114.60	-2.2207
43.25	115.32	-1.9686
44.25	116.02	-1.7465
45.25	116.69	-1.5545
46.25	117.34	-1.3908
47.25	117.97	-1.2527
48.25	118.59	-1.1385
49.25	119.20	-1.0456
50.25	119.79	-0.9721
51.25	120.38	-0.9137
52.25	120.96	-0.8677
53.25	121.53	-0.8341
54.25	122.10	-0.8076
55.25	122.67	-0.7882
56.25	123.23	-0.7750
57.25	123.79	-0.7654
58.25	124.35	-0.7602
59.25	124.90	-0.7594
60.25	125.46	-0.7613
61.25	126.01	-0.7641
62.25	126.56	-0.7696
63.25	127.11	-0.7759
64.25	127.67	-0.7832
65.25	128.23	-0.7904
66.25	128.78	-0.7968
67.25	129.33	-0.8031
68.25	129.88	-0.8095
69.25	130.43	-0.8132
70.25	130.98	-0.8142
71.25	131.53	-0.8135
72.25	132.07	-0.8145
73.25	132.62	-0.8165
74.25	133.17	-0.8202
75.25	133.71	-0.8239
76.25	134.26	-0.8294
77.25	134.81	-0.8340
78.25	135.36	-0.8395
79.25	135.91	-0.8441
80.25	136.46	-0.8461
81.25	137.01	-0.8471
82.25	137.57	-0.8509
83.25	138.12	-0.8546
84.25	138.67	-0.8566
85.25	139.23	-0.8576
86.25	139.79	-0.8614
87.25	140.34	-0.8633
88.25	140.89	-0.8662
89.25	141.44	-0.8690
90.25	142.00	-0.8710
91.25	142.55	-0.8739
92.25	143.10	-0.8785
93.25	143.66	-0.8832
94.25	144.21	-0.8852
95.25	144.75	-0.8881
96.25	145.31	-0.8918
97.25	145.86	-0.8947
98.25	146.42	-0.8976
99.25	146.97	-0.9005
100.25	147.52	-0.9052
101.25	148.08	-0.9090
102.25	148.63	-0.9110
103.25	149.18	-0.9139
104.25	149.73	-0.9177
105.25	150.29	-0.9206
106.25	150.84	-0.9253
107.25	151.40	-0.9300
108.25	151.95	-0.9329
109.25	152.51	-0.9349
110.25	153.06	-0.9369
111.25	153.61	-0.9399
112.25	154.16	-0.9428
113.25	154.71	-0.9466
114.25	155.27	-0.9522
