time	Temp	HeatFlow
s	°C	mW
2	66.79	2.15777
3	66.71	2.16926
4	66.67	2.16837
5	66.66	2.13128
6	66.73	2.03765
7	66.89	1.88043
8	67.16	1.66404
9	67.53	1.39906
10	68.00	1.09258
11	68.59	0.75429
12	69.27	0.40011
13	70.06	0.04063
14	70.95	-0.3180
15	71.92	-0.6677
16	72.95	-1.0025
17	74.06	-1.3187
18	75.22	-1.6110
19	76.44	-1.8796
20	77.70	-2.1260
21	79.00	-2.3503
22	80.34	-2.5526
23	81.71	-2.7328
24	83.10	-2.8918
25	84.51	-3.0313
26	85.94	-3.1514
27	87.38	-3.2574
28	88.84	-3.3484
29	90.30	-3.4244
30	91.74	-3.4765
31	93.16	-3.4871
32	94.54	-3.4491
33	95.85	-3.3616
34	97.10	-3.2309
35	98.28	-3.0649
36	99.40	-2.8750
37	100.46	-2.6694
38	101.45	-2.4569
39	102.37	-2.2453
40	103.25	-2.0370
41	104.08	-1.8367
42	104.86	-1.6460
43	105.61	-1.4676
44	106.33	-1.3051
45	107.01	-1.1576
46	107.67	-1.0233
47	108.31	-0.9023
48	108.93	-0.7945
49	109.53	-0.6990
50	110.12	-0.6150
51	110.71	-0.5416
52	111.29	-0.4771
53	111.86	-0.4223
54	112.43	-0.3727
55	112.99	-0.3312
56	113.54	-0.2967
57	114.09	-0.2657
58	114.64	-0.2392
59	115.19	-0.2171
60	115.73	-0.1994
61	116.28	-0.1834
62	116.82	-0.1702
63	117.36	-0.1587
64	117.90	-0.1498
65	118.44	-0.1436
66	118.98	-0.1374
67	119.52	-0.1313
68	120.06	-0.1260
69	120.60	-0.1224
70	121.14	-0.1216
71	121.68	-0.1207
72	122.22	-0.1207
73	122.76	-0.1198
74	123.30	-0.1190
75	123.84	-0.1163
76	124.37	-0.1146
77	124.91	-0.1128
78	125.44	-0.1093
79	125.97	-0.1066
80	126.51	-0.1040
81	127.05	-0.1022
82	127.59	-0.1022
83	128.12	-0.1031
84	128.66	-0.1049
85	129.19	-0.1067
86	129.73	-0.1067
87	130.26	-0.1077
88	130.80	-0.1077
89	131.33	-0.1077
90	131.87	-0.1077
91	132.40	-0.1095
92	132.95	-0.1122
93	133.49	-0.1113
94	134.02	-0.1113
95	134.55	-0.1123
96	135.09	-0.1141
97	135.63	-0.1141
98	136.17	-0.1150
99	136.71	-0.1159
100	137.26	-0.1150
101	137.80	-0.1142
102	138.35	-0.1151
103	138.89	-0.1169
104	139.43	-0.1169
105	139.97	-0.1169
106	140.51	-0.1179
107	141.06	-0.1197
108	141.60	-0.1206
109	142.15	-0.1215
110	142.69	-0.1233
111	143.23	-0.1251
112	143.78	-0.1269
113	144.32	-0.1297
114	144.86	-0.1315
115	145.41	-0.1324
116	145.96	-0.1324
117	146.51	-0.1333
118	147.05	-0.1343
119	147.60	-0.1352
120	148.15	-0.1370
121	148.69	-0.1371
122	149.24	-0.1371
123	149.79	-0.1389
124	150.33	-0.1398
125	150.88	-0.1408
126	151.43	-0.1426
127	151.97	-0.1444
128	152.53	-0.1454
129	153.07	-0.1472
130	153.62	-0.1490
131	154.17	-0.1499
132	154.71	-0.1518
133	155.26	-0.1527
134	155.81	-0.1537
135	156.36	-0.1555
136	156.91	-0.1564
137	157.46	-0.1565
138	158.00	-0.1574
139	158.56	-0.1592
140	159.11	-0.1629
141	159.66	-0.1656
142	160.21	-0.1675
143	160.76	-0.1684
144	161.31	-0.1685
145	161.86	-0.1703
146	162.42	-0.1722
147	162.97	-0.1749
148	163.52	-0.1777
149	164.08	-0.1795
150	164.63	-0.1814
151	165.19	-0.1832
152	165.74	-0.1860
153	166.30	-0.1878
154	166.85	-0.1888
155	167.41	-0.1916
156	167.97	-0.1925
157	168.53	-0.1944
158	169.08	-0.1972
159	169.64	-0.1981
160	170.20	-0.1991
161	170.75	-0.2019
162	171.31	-0.2028
163	171.86	-0.2038
164	172.43	-0.2030
165	172.98	-0.2021
166	173.54	-0.2022
167	174.09	-0.2031
168	174.64	-0.2041
169	175.20	-0.2060
170	175.76	-0.2079
171	176.32	-0.2088
172	176.87	-0.2089
173	177.43	-0.2099
174	177.98	-0.2108
175	178.54	-0.2100
176	179.09	-0.2101
177	179.65	-0.2111
178	180.20	-0.2120
179	180.76	-0.2121
180	181.32	-0.2122
181	181.87	-0.2122
182	182.43	-0.2132
183	182.98	-0.2133
184	183.54	-0.2143
185	184.10	-0.2162
186	184.65	-0.2181
187	185.21	-0.2200
188	185.77	-0.2219
189	186.33	-0.2229
190	186.88	-0.2248
191	187.45	-0.2267
192	188.01	-0.2277
193	188.56	-0.2286
194	189.12	-0.2296
195	189.69	-0.2325
196	190.25	-0.2353
197	190.81	-0.2381
198	191.37	-0.2410
199	191.93	-0.2420
200	192.50	-0.2421
201	193.06	-0.2421
202	193.62	-0.2422
203	194.19	-0.2432
