time	Temp	HeatFlow
s	°C	mW
2	71.10	1.80713
3	70.97	1.88838
4	70.86	1.94845
5	70.81	1.95816
6	70.84	1.89810
7	70.97	1.76473
8	71.20	1.56247
9	71.56	1.30279
10	72.03	0.99984
11	72.61	0.66597
12	73.30	0.31444
13	74.09	-0.0450
14	74.98	-0.4045
15	75.95	-0.7561
16	77.00	-1.0952
17	78.11	-1.4123
18	79.29	-1.7064
19	80.52	-1.9785
20	81.79	-2.2258
21	83.10	-2.4519
22	84.46	-2.6559
23	85.84	-2.8388
24	87.25	-3.0022
25	88.67	-3.1435
26	90.09	-3.2512
27	91.49	-3.3131
28	92.84	-3.3201
29	94.14	-3.2742
30	95.38	-3.1815
31	96.57	-3.0507
32	97.68	-2.8944
33	98.73	-2.7204
34	99.72	-2.5349
35	100.66	-2.3462
36	101.54	-2.1584
37	102.37	-1.9758
38	103.16	-1.8002
39	103.92	-1.6360
40	104.64	-1.4824
41	105.33	-1.3403
42	105.99	-1.2113
43	106.63	-1.0956
44	107.25	-0.9914
45	107.86	-0.8995
46	108.46	-0.8183
47	109.04	-0.7458
48	109.62	-0.6840
49	110.18	-0.6310
50	110.75	-0.5859
51	111.32	-0.5479
52	111.87	-0.5143
53	112.43	-0.4834
54	112.99	-0.4587
55	113.55	-0.4401
56	114.09	-0.4234
57	114.64	-0.4101
58	115.19	-0.3987
59	115.74	-0.3899
60	116.29	-0.3819
61	116.84	-0.3758
62	117.38	-0.3723
63	117.92	-0.3688
64	118.46	-0.3662
65	119.01	-0.3653
66	119.56	-0.3654
67	120.10	-0.3663
68	120.65	-0.3682
69	121.19	-0.3682
70	121.74	-0.3692
71	122.28	-0.3710
72	122.82	-0.3711
73	123.37	-0.3729
74	123.91	-0.3783
75	124.45	-0.3810
76	125.00	-0.3846
77	125.54	-0.3891
78	126.08	-0.3927
79	126.63	-0.3981
80	127.17	-0.4044
81	127.72	-0.4098
82	128.27	-0.4152
83	128.81	-0.4197
84	129.35	-0.4251
85	129.89	-0.4306
86	130.43	-0.4369
87	130.98	-0.4432
88	131.52	-0.4504
89	132.06	-0.4576
90	132.60	-0.4639
91	133.15	-0.4711
92	133.69	-0.4792
93	134.23	-0.4864
94	134.78	-0.4936
95	135.32	-0.5017
96	135.87	-0.5107
97	136.42	-0.5224
98	136.97	-0.5341
99	137.52	-0.5449
100	138.07	-0.5557
101	138.63	-0.5666
102	139.17	-0.5783
103	139.72	-0.5909
104	140.27	-0.6026
105	140.82	-0.6135
106	141.38	-0.6252
107	141.93	-0.6378
108	142.48	-0.6496
109	143.03	-0.6631
110	143.58	-0.6758
111	144.14	-0.6885
112	144.69	-0.7020
113	145.24	-0.7156
114	145.80	-0.7310
115	146.35	-0.7454
116	146.90	-0.7599
117	147.46	-0.7744
118	148.01	-0.7898
119	148.56	-0.8035
120	149.11	-0.8189
121	149.67	-0.8334
122	150.23	-0.8497
123	150.78	-0.8652
124	151.34	-0.8806
125	151.89	-0.8961
126	152.45	-0.9116
127	153.01	-0.9261
128	153.57	-0.9407
129	154.12	-0.9562
130	154.68	-0.9708
131	155.24	-0.9864
132	155.79	-1.0019
133	156.34	-1.0156
134	156.90	-1.0312
135	157.45	-1.0467
136	158.01	-1.0614
137	158.58	-1.0769
138	159.13	-1.0916
139	159.68	-1.1054
140	160.24	-1.1183
141	160.80	-1.1312
142	161.36	-1.1459
143	161.92	-1.1598
144	162.48	-1.1727
145	163.04	-1.1848
146	163.59	-1.1959
147	164.15	-1.2062
148	164.72	-1.2155
149	165.28	-1.2240
150	165.84	-1.2334
151	166.40	-1.2428
152	166.95	-1.2512
153	167.51	-1.2579
154	168.07	-1.2655
155	168.64	-1.2731
156	169.19	-1.2798
157	169.75	-1.2874
158	170.31	-1.2951
159	170.87	-1.3009
160	171.44	-1.3076
161	172.00	-1.3134
162	172.56	-1.3202
163	173.12	-1.3278
164	173.68	-1.3364
165	174.24	-1.3423
166	174.81	-1.3481
167	175.37	-1.3558
168	175.93	-1.3617
169	176.49	-1.3675
170	177.06	-1.3743
171	177.62	-1.3811
172	178.18	-1.3898
173	178.75	-1.3975
174	179.31	-1.4061
175	179.87	-1.4157
176	180.43	-1.4234
177	181.00	-1.4330
178	181.57	-1.4417
179	182.13	-1.4522
180	182.69	-1.4645
181	183.26	-1.4759
182	183.83	-1.4874
183	184.39	-1.4988
184	184.96	-1.5121
185	185.53	-1.5236
186	186.09	-1.5342
187	186.67	-1.5448
188	187.24	-1.5563
189	187.80	-1.5687
190	188.37	-1.5820
191	188.93	-1.5954
192	189.50	-1.6088
193	190.07	-1.6222
194	190.64	-1.6347
195	191.21	-1.6481
196	191.78	-1.6624
197	192.36	-1.6768
198	192.93	-1.6921
199	193.49	-1.7055
200	194.07	-1.7190
201	194.64	-1.7334
202	195.21	-1.7479
203	195.78	-1.7614
204	196.35	-1.7749
205	196.92	-1.7875
206	197.50	-1.8029
207	198.07	-1.8202
208	198.64	-1.8356
209	199.22	-1.8511
210	199.79	-1.8656
211	200.36	-1.8811
212	200.94	-1.8975
213	201.52	-1.9130
214	202.09	-1.9294
215	202.66	-1.9468
216	203.24	-1.9633
217	203.82	-1.9807
218	204.39	-1.9972
219	204.97	-2.0156
220	205.55	-2.0331
221	206.12	-2.0515
222	206.69	-2.0717
223	207.27	-2.0939
224	207.85	-2.1161
